StageID,Lane,Season,BlockID_1,BlockID_2,BlockID_3,BlockID_4,BlockID_5,BlockID_6,BlockID_7,BlockID_8,BlockID_9,BlockID_10,BlockID_11,BlockID_12,BlockID_13,BlockID_14,BlockID_15,BlockID_16,BlockID_17,BlockID_18,BlockID_19,BlockID_20,BlockID_21,BlockID_22,BlockID_23,BlockID_24,BlockID_25,BlockID_26,BlockID_27,BlockID_28,BlockID_29,BlockID_30,,,,,,,,,,,,,,,,,,,,,,
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,2,0,4,4,4,0,0,0,0,0,0,5,0,0,99,,,,,,,,,,,,,,,,,
3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,5,1,0,0,-1,-1,-1,0,0,0,0,,,,,,,,,,,,,,,,,,
3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,4,4,4,0,0,0,-1,,,,,,,,,,,,,,,,,,
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,4,4,2,2,4,4,0,0,1,3,1,2,0,-1,-1,-1,-1,-1,0,0,0,99,,,,,,,,,,,,
4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,,,,,,,,,,,,,
4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,
5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,4,0,1,0,4,0,1,2,2,0,-1,-1,-1,-1,-1,0,0,0,99,,,,,,,,,,,,
5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,4,0,3,0,4,0,1,0,0,0,0,0,0,4,0,0,0,0,,,,,,,,,,,,,
5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,2,0,4,0,1,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,2,0,0,3,0,1,0,0,5,0,2,0,0,4,0,2,0,1,0,0,0,99,,,,,,,,,,,,,,,
6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,4,0,1,0,1,0,2,0,0,0,0,,,,,,,,,,,,,,
6,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,2,0,2,0,1,0,0,0,0,,,,,,,,,,,,,
7,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,5,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,,,,,,,,
7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,,,,,,,,,,,,
7,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,4,0,0,0,0,0,0,,,,,,,,,,,
8,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,,,,,,
8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
8,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
9,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,4,0,0,0,2,0,1,0,0,0,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,,,,,,
9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,3,0,1,0,0,0,0,0,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,
9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
10,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,
10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
10,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
11,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,4,0,2,0,0,5,0,1,0,0,0,2,0,0,3,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,99
11,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
11,2,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,4,0,2,0,0,5,0,1,0,0,0,2,0,0,3,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,,,,
12,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,0,-1,-1,0,4,0,2,0,0,1,0,0,0,4,0,2,0,5,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,99,,,,,
12,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,-1,-1,0,3,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
12,2,1,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,4,0,2,0,0,1,0,0,0,4,0,2,0,5,0,1,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,
13,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,5,0,2,0,0,4,0,1,0,0,0,2,0,0,3,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,99,
13,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
13,2,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,5,0,2,0,0,4,0,1,0,0,0,2,0,0,3,0,0,0,4,0,1,0,0,2,0,0,0,0,0,,,,,,
14,0,1,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,-1,-1,0,2,0,1,0,0,0,4,0,2,0,5,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,99,,,,,,,
14,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3,-1,-1,0,1,0,0,0,0,0,0,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
14,2,1,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,0,0,5,0,2,0,1,0,0,0,4,0,5,0,2,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
15,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,4,0,2,0,0,5,0,1,0,0,0,2,0,0,3,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,99,,,
15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
15,2,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,4,0,2,0,0,5,0,1,0,0,0,2,0,0,3,0,0,0,4,0,1,0,0,2,0,0,0,0,0,,,,,,
16,0,1,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,-1,-1,0,2,0,1,0,0,0,4,0,2,0,5,0,1,0,3,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,99,,
16,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3,-1,-1,0,1,0,0,0,0,0,0,3,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
16,2,1,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,0,0,5,0,2,0,1,0,0,0,4,0,5,0,2,0,1,0,3,0,0,0,2,0,0,0,4,0,1,0,0,0,0,,,,
17,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,5,0,2,0,0,4,0,1,0,0,0,2,0,0,3,0,0,0,4,0,1,0,2,0,5,0,0,0,0,0,0,0,99,,
17,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,3,0,0,0,0,,,,,,
17,2,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,5,0,2,0,0,4,0,1,0,0,0,2,0,0,3,0,0,0,4,0,1,0,2,0,5,0,0,0,0,0,0,,,,
18,0,1,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,-1,-1,0,5,0,2,0,1,0,0,0,4,0,5,0,2,0,1,0,3,0,0,0,2,0,0,0,4,0,1,0,0,0,99,,,
18,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3,-1,-1,0,1,0,0,0,0,0,0,3,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
18,2,1,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,0,0,5,0,2,0,1,0,0,0,4,0,5,0,2,0,1,0,3,0,0,0,2,0,0,0,4,0,1,0,0,0,0,,,,
19,0,1,0,0,0,0,0,0,0,0,0,5,0,-1,-1,0,4,0,5,0,2,0,1,0,0,0,0,3,0,5,0,4,0,2,0,1,0,3,0,2,0,0,0,4,0,1,0,0,0,0,99,,,
19,1,1,0,0,0,0,0,0,0,0,0,0,5,0,-1,-1,0,3,0,1,0,0,0,0,0,0,4,0,5,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,5,0,2,0,1,0,0,0,0,3,0,5,0,4,0,2,0,1,0,3,0,2,0,0,0,4,0,1,0,0,0,0,,,,
20,0,1,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,-1,-1,0,5,0,2,0,1,0,0,0,4,0,5,0,2,0,1,0,3,0,2,0,0,0,4,0,1,0,0,0,0,0,99,,,
20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3,-1,-1,0,1,0,0,0,0,0,0,3,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
20,2,1,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,0,0,5,0,2,0,1,0,0,0,4,0,5,0,2,0,1,0,3,0,2,0,0,0,4,0,1,0,0,0,0,0,0,,,,
21,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,4,0,2,0,0,5,0,1,0,0,0,2,0,0,3,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,99,,,
21,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
21,2,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,4,0,2,0,0,5,0,1,0,0,0,2,0,0,3,0,0,0,4,0,1,0,0,2,0,0,0,0,0,,,,,,
22,0,1,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,0,0,2,0,1,0,0,0,4,0,2,0,5,0,1,0,0,0,3,0,0,0,2,0,0,0,4,0,1,0,0,0,0,99,,,
22,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3,0,0,1,0,0,0,0,0,0,3,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
22,2,1,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,0,0,5,0,2,0,1,0,0,0,4,0,5,0,2,0,1,0,3,0,0,0,2,0,0,0,4,0,1,0,0,0,0,,,,
23,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,5,0,2,0,1,0,0,0,0,3,0,5,0,4,0,2,0,1,0,3,0,2,0,0,0,4,0,1,0,0,0,0,99,,,
23,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,5,0,3,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
23,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,5,0,2,0,1,0,0,0,0,3,0,5,0,4,0,2,0,1,0,3,0,2,0,0,0,4,0,1,0,0,0,0,,,,
24,0,1,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,0,0,5,0,2,0,1,0,0,0,4,0,5,0,2,0,1,0,3,0,2,0,0,0,4,0,1,0,0,0,0,0,0,99,,,
24,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3,0,0,1,0,0,0,0,0,0,3,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
24,2,1,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,0,0,5,0,2,0,1,0,0,0,4,0,5,0,2,0,1,0,3,0,2,0,0,0,4,0,1,0,0,0,0,0,0,,,,
25,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,4,0,2,0,0,5,0,1,0,0,0,2,0,0,3,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,99,,,
25,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
25,2,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,4,0,2,0,0,5,0,1,0,0,0,2,0,0,3,0,0,0,4,0,1,0,0,2,0,0,0,0,0,,,,,,
